IYEAR,IMONTH,IDAY,AVG_DAILY_TEMP_F
2012,5,9,50.25
2012,5,10,55.099999999999994
2012,5,11,55.55
2012,5,12,51.625
2012,5,13,60.775000000000006
2012,5,14,64.19999999999999
2012,5,15,57.574999999999996
2012,5,16,50.075
2012,5,17,60.550000000000004
2012,5,18,70.77714285714285
2012,5,19,72.79154929577464
2012,5,20,51.8
2012,5,21,51.224999999999994
2012,5,22,56.150000000000006
2012,5,23,60.275000000000006
2012,5,24,55.7
2012,5,25,53.25
2012,5,26,47.849999999999994
2012,5,27,53.25
2012,5,28,58.0
2012,5,29,48.775000000000006
2012,5,30,45.38591549295775
2012,5,31,48.17464788732394
2012,6,1,56.9622641509434
2012,6,2,58.400000000000006
2012,6,3,59.125
2012,6,4,64.50434782608696
2012,6,5,64.69999999999999
2012,6,6,64.35
2012,6,7,66.6
2012,6,8,70.275
2012,6,9,70.28857142857143
2012,6,10,74.92112676056338
2012,6,11,60.400000000000006
2012,6,12,50.974999999999994
2012,6,13,53.599999999999994
2012,6,14,59.25
2012,6,15,66.22571428571429
2012,6,16,64.725
2012,6,17,61.650000000000006
2012,6,18,68.07499999999999
2012,6,19,59.474999999999994
2012,6,20,61.974999999999994
2012,6,21,60.98805970149253
2012,6,22,60.944
2012,6,23,57.72941176470588
2012,6,24,62.65070422535211
2012,6,25,59.375
2012,6,26,65.55000000000001
2012,6,27,70.42608695652173
2012,6,28,72.16571428571429
2012,6,29,71.07826086956521
2012,6,30,68.35492957746479
2012,7,1,73.06666666666666
2012,7,2,76.30000000000001
2012,7,3,75.05000000000001
2012,7,4,70.65
2012,7,5,72.57499999999999
2012,7,6,62.949999999999996
2012,7,7,67.32499999999999
2012,7,8,69.525
2012,7,9,66.35
2012,7,10,66.25
2012,7,11,72.775
2012,7,12,72.9943661971831
2012,7,13,96.54722222222222
2012,7,14,73.60281690140846
2012,7,15,68.65
2012,7,16,74.41408450704225
2012,7,17,70.78873239436619
2012,7,18,68.0
2012,7,19,66.65633802816902
2012,7,20,72.525
2012,7,21,71.80000000000001
2012,7,22,70.0
2012,7,23,69.55000000000001
2012,7,24,68.50399999999999
2012,7,25,66.19999999999999
2012,7,26,66.2986301369863
2012,7,27,64.275
2012,7,28,66.35
2012,7,29,72.74084507042254
2012,7,30,71.87
2012,7,31,65.525
